Now,now,s,topic_86,0,freq4,0,ig5,0,sal5,0
at,at,s,topic_6,0,freq5,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
station,station,,topic_91,0,freq5,0,ig5,0,sal4,0
",",",",s
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
to,to,s,topic_26,0,freq3,0,ig5,0,sal5,0
another,another,s,topic_5,0,freq3,0,ig5,0,sal4,0
land,land,s,topic_9,0,freq2,0,ig5,0,sal1,0
Lands,lands,s,topic_26,0,freq5,0,ig5,0,sal5,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
never,never,s,topic_27,0,freq2,0,ig5,0,sal3,0
seen,seen,s,topic_55,0,freq4,0,ig5,0,sal5,0
light,light,s,topic_5,0,freq2,0,ig4,0,sal1,0
Light,light,s,topic_5,0,freq2,0,ig4,0,sal1,0
hidden,hidden,s,topic_9,0,freq5,0,ig5,0,sal5,0
in,in,s,topic_5,0,freq2,0,ig5,0,sal2,0
infinite,infinite,s,topic_6,0,freq5,0,ig5,0,sal5,0
night,night,s,topic_5,0,freq2,0,ig5,0,sal1,0
Night,night,s,topic_5,0,freq2,0,ig5,0,sal1,0
in,in,s,topic_26,0,freq3,0,ig5,0,sal4,0
it's,it's,s,topic_4,0,freq3,0,ig5,0,sal5,0
biggest,biggest,s,topic_92,0,freq5,0,ig4,0,sal4,0
might,might,,topic_5,0,freq4,0,ig5,0,sal5,0
",",",",s
might,might,s,topic_5,0,freq4,0,ig5,0,sal5,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
strongest,strongest,s,topic_6,0,freq5,0,ig5,0,sal5,0
power,power,s,topic_26,0,freq4,0,ig4,0,sal2,0
And,and,s,topic_26,0,freq2,0,ig5,0,sal5,0
there,there,s,topic_5,0,freq3,0,ig5,0,sal5,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
smoke,smoke,s,topic_55,0,freq5,0,ig5,0,sal4,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
To,to,s,topic_56,0,freq1,0,ig5,0,sal2,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
heart,heart,s,topic_6,0,freq3,0,ig5,0,sal2,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_55,0,freq1,0,ig5,0,sal5,0
flower,flower,s,topic_55,0,freq4,0,ig5,0,sal3,0
I,i,s,topic_6,0,freq2,0,ig5,0,sal4,0
take,take,s,topic_91,0,freq4,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
first,first,s,topic_74,0,freq3,0,ig5,0,sal3,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
to,to,s,topic_74,0,freq2,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
heart,heart,s,topic_6,0,freq3,0,ig5,0,sal2,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
flower,flower,s,topic_55,0,freq4,0,ig5,0,sal3,0
I,i,s,topic_55,0,freq2,0,ig5,0,sal5,0
take,take,s,topic_6,0,freq4,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
first,first,s,topic_74,0,freq3,0,ig5,0,sal3,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
to,to,s,topic_26,0,freq3,0,ig5,0,sal5,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
heart,heart,s,topic_6,0,freq3,0,ig5,0,sal2,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
flower,flower,s,topic_55,0,freq4,0,ig5,0,sal3,0
And,and,s,topic_26,0,freq2,0,ig5,0,sal5,0
there,there,s,topic_56,0,freq3,0,ig5,0,sal4,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
smoke,smoke,s,topic_55,0,freq5,0,ig5,0,sal4,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
To,to,s,topic_74,0,freq2,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
heart,heart,s,topic_6,0,freq3,0,ig5,0,sal2,0
of,of,s,topic_55,0,freq2,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
flower,flower,s,topic_55,0,freq4,0,ig5,0,sal3,0
And,and,s,topic_26,0,freq2,0,ig5,0,sal5,0
there,there,s,topic_91,0,freq3,0,ig5,0,sal4,0
the,the,s,topic_9,0,freq1,0,ig5,0,sal4,0
smoke,smoke,s,topic_55,0,freq5,0,ig5,0,sal4,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
train,train,s,topic_91,0,freq3,0,ig4,0,sal1,0
To,to,s,topic_26,0,freq3,0,ig5,0,sal5,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
heart,heart,s,topic_6,0,freq3,0,ig5,0,sal2,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
the,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
flower,flower,s,topic_6,0,freq5,0,ig5,0,sal5,0
The,the,s,topic_26,0,freq1,0,ig5,0,sal2,0
waiting,waiting,s,topic_5,0,freq4,0,ig5,0,sal5,0
room,room,s,topic_26,0,freq4,0,ig5,0,sal5,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
kingdom,kingdom,s,topic_26,0,freq5,0,ig5,0,sal4,0
come,come,,topic_45,0,freq1,0,ig5,0,sal1,0
",",",",s
I,i,s,topic_91,0,freq1,0,ig5,0,sal3,0
look,look,s,topic_56,0,freq4,0,ig5,0,sal5,0
back,back,s,topic_86,0,freq1,0,ig5,0,sal2,0
upon,upon,s,topic_5,0,freq4,0,ig5,0,sal5,0
my,my,s,topic_6,0,freq1,0,ig5,0,sal1,0
life,life,s,topic_6,0,freq4,0,ig5,0,sal4,0
Life,life,s,topic_6,0,freq4,0,ig5,0,sal4,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
loss,loss,s,topic_56,0,freq5,0,ig4,0,sal3,0
but,but,s,topic_56,0,freq3,0,ig5,0,sal5,0
now,now,s,topic_91,0,freq3,0,ig5,0,sal4,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
end,end,s,topic_26,0,freq4,0,ig5,0,sal4,0
End,end,s,topic_26,0,freq4,0,ig5,0,sal4,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
rat,rat,s,topic_55,0,freq5,0,ig5,0,sal5,0
race,race,s,topic_55,0,freq4,0,ig5,0,sal3,0
overdrive,overdrive,s,topic_26,0,freq5,0,ig1,0,sal4,0
Overdrive,overdrive,s,topic_26,0,freq5,0,ig1,0,sal4,0
to,to,s,topic_74,0,freq2,0,ig5,0,sal5,0
foreign,foreign,s,topic_9,0,freq4,0,ig5,0,sal3,0
lands,lands,s,topic_26,0,freq5,0,ig5,0,sal5,0
Lands,lands,s,topic_26,0,freq5,0,ig5,0,sal5,0
of,of,s,topic_26,0,freq2,0,ig5,0,sal1,0
contemptuous,contemptuous,s,topic_4,0,freq5,0,ig4,0,sal5,0
