(,(,
Oh,oh,,topic_67,0,freq1,0,ig5,0,sal1,0
....,....,
),),s
Let,let,s,topic_2,0,freq4,0,ig5,0,sal5,0
me,me,s,topic_98,0,freq4,0,ig5,0,sal5,0
say,say,s,topic_51,0,freq4,0,ig5,0,sal5,0
once,once,s,topic_82,0,freq4,0,ig5,0,sal5,0
more,more,s,topic_82,0,freq2,0,ig5,0,sal2,0
that,that,s,topic_51,0,freq2,0,ig5,0,sal4,0
I,i,s,topic_38,0,freq1,0,ig5,0,sal2,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
you,you,,topic_51,0,freq1,0,ig5,0,sal3,0
",",",",s
Let,let,s,topic_51,0,freq4,0,ig5,0,sal5,0
me,me,s,topic_2,0,freq1,0,ig5,0,sal1,0
say,say,s,topic_51,0,freq4,0,ig5,0,sal5,0
one,one,s,topic_51,0,freq4,0,ig5,0,sal5,0
time,time,,topic_51,0,freq4,0,ig5,0,sal5,0
",",",",s
maybe,maybe,s,topic_45,0,freq5,0,ig5,0,sal5,0
two,two,,topic_51,0,freq5,0,ig5,0,sal5,0
",",",",s
That,that,s,topic_98,0,freq2,0,ig5,0,sal4,0
I,i,s,topic_98,0,freq1,0,ig5,0,sal3,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
the,the,s,topic_77,0,freq3,0,ig5,0,sal5,0
way,way,s,topic_51,0,freq3,0,ig5,0,sal4,0
that,that,s,topic_51,0,freq2,0,ig5,0,sal4,0
you,you,s,topic_70,0,freq2,0,ig5,0,sal4,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
me,me,,topic_2,0,freq1,0,ig5,0,sal1,0
",",",",s
And,and,s,topic_51,0,freq2,0,ig5,0,sal5,0
I,i,s,topic_38,0,freq1,0,ig5,0,sal2,0
wish,wish,s,topic_34,0,freq3,0,ig5,0,sal3,0
I,i,s,topic_38,0,freq1,0,ig5,0,sal2,0
knew,knew,s,topic_74,0,freq5,0,ig5,0,sal5,0
more,more,s,topic_82,0,freq2,0,ig5,0,sal2,0
of,of,s,topic_51,0,freq2,0,ig5,0,sal5,0
you,you,,topic_51,0,freq1,0,ig5,0,sal3,0
.,.,s
Let,let,s,topic_2,0,freq4,0,ig5,0,sal5,0
me,me,s,topic_6,0,freq3,0,ig5,0,sal5,0
say,say,s,topic_98,0,freq3,0,ig5,0,sal2,0
once,once,s,topic_82,0,freq4,0,ig5,0,sal5,0
more,more,s,topic_82,0,freq2,0,ig5,0,sal2,0
that,that,s,topic_17,0,freq3,0,ig5,0,sal5,0
I,i,s,topic_38,0,freq1,0,ig5,0,sal2,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
you,you,,topic_98,0,freq1,0,ig5,0,sal4,0
",",",",s
Let,let,s,topic_2,0,freq4,0,ig5,0,sal5,0
me,me,s,topic_2,0,freq1,0,ig5,0,sal1,0
say,say,s,topic_51,0,freq4,0,ig5,0,sal5,0
one,one,s,topic_17,0,freq1,0,ig5,0,sal1,0
time,time,,topic_74,0,freq1,0,ig5,0,sal1,0
",",",",s
maybe,maybe,s,topic_34,0,freq4,0,ig5,0,sal5,0
two,two,,topic_51,0,freq5,0,ig5,0,sal5,0
",",",",s
That,that,s,topic_98,0,freq2,0,ig5,0,sal4,0
I,i,s,topic_98,0,freq1,0,ig5,0,sal3,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
the,the,s,topic_51,0,freq2,0,ig5,0,sal5,0
way,way,s,topic_51,0,freq3,0,ig5,0,sal4,0
that,that,s,topic_51,0,freq2,0,ig5,0,sal4,0
you,you,s,topic_51,0,freq1,0,ig5,0,sal3,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
me,me,,topic_2,0,freq1,0,ig5,0,sal1,0
",",",",s
And,and,s,topic_98,0,freq4,0,ig5,0,sal5,0
I,i,s,topic_98,0,freq1,0,ig5,0,sal3,0
wish,wish,s,topic_34,0,freq3,0,ig5,0,sal3,0
I,i,s,topic_98,0,freq1,0,ig5,0,sal3,0
knew,knew,s,topic_51,0,freq5,0,ig5,0,sal5,0
more,more,s,topic_82,0,freq2,0,ig5,0,sal2,0
of,of,s,topic_51,0,freq2,0,ig5,0,sal5,0
you,you,,topic_51,0,freq1,0,ig5,0,sal3,0
.,.,s
Tell,tell,s,topic_2,0,freq4,0,ig5,0,sal4,0
me,me,s,topic_2,0,freq1,0,ig5,0,sal1,0
that,that,s,topic_51,0,freq2,0,ig5,0,sal4,0
time,time,s,topic_51,0,freq4,0,ig5,0,sal5,0
can't,can't,s,topic_38,0,freq4,0,ig5,0,sal5,0
erase,erase,s,topic_34,0,freq5,0,ig5,0,sal5,0
This,this,s,topic_74,0,freq3,0,ig5,0,sal5,0
look,look,s,topic_70,0,freq4,0,ig5,0,sal4,0
of,of,s,topic_51,0,freq2,0,ig5,0,sal5,0
love,love,s,topic_51,0,freq1,0,ig5,0,sal1,0
